a;b;c;d;e
398;4月12日;かぶりタレントキャラ統一マッチ;鈴木拓（ドランクドラゴン）、高橋健一（キングオブコメディ）、設楽統（バナナマン）;2015年
399;4月19日;“俺たちのMy Way”本当はすごいんだぞールナイトニッポン;ダイノジ、奥仲麻琴、岡田将生、鈴木浩介;2015年
400;4月26日;第6回イチャまんグランプリ;トレンディエンジェル、スピードワゴン、さくらゆら、木嶋のりこ、大堀恵;2015年
401;5月3日;アイドルビジネス悩み撲滅委員会;鈴木拓（ドランクドラゴン）、東森美和、中島愛里、芦原優愛;2015年
402;5月10日;おかずクラブ ゆいPのキス我慢が見てみたい!;おかずクラブ、鈴木貴之、山本明寛;2015年
403;5月17日;DVD発売記念 第2のヒム子オーディション;バナナマン、かもめんたる、バイきんぐ、都丸紗也華、久松郁実;2015年
404;5月24日;第4回コンビ愛確かめ選手権;FUJIWARA、アンガールズ、ウーマンラッシュアワー、住吉史衣、葉月ゆめ、矢野目美有;2015年
405;5月31日;第4回コンビ愛確かめ選手権;FUJIWARA、アンガールズ、ウーマンラッシュアワー、住吉史衣、葉月ゆめ、矢野目美有;2015年
406;6月7日;マジギライ1/5;柴田英嗣（アンタッチャブル）、飯塚悟志（東京03）、青山めぐ、加藤明子、宮澤じゅり、あいな;2015年
407;6月14日;目指せ!お兄ちゃん芸人アイドル×芸人 フィ〜リングカップル;銀シャリ、三四郎、姫崎愛未・高木悠未・ 大庭彩歌・伊藤麻希（LinQ）;2015年
408;6月21日;仲直りフレンドパーク6;鈴木拓（ドランクドラゴン）、西野亮廣（キングコング）;2015年
409;6月28日;第5回アイドル飲み姿カワイイGP;中村静香、中島愛里、三原勇希;2015年
410;7月5日;第3回ファンタジー芸人No.1決定戦;川島邦裕（野性爆弾）、下野紘、三森すずこ、荻野可鈴・小林玲・京佳（夢みるアドレセンス）、原田まりる、倉持由香、水月桃子;2015年
411;7月12日;第3回ファンタジー芸人No.1決定戦;川島邦裕（野性爆弾）、下野紘、三森すずこ、荻野可鈴・小林玲・京佳（夢みるアドレセンス）、原田まりる、倉持由香、水月桃子;2015年
412;7月19日;マジ歌ライブ名場面集;-;2015年
413;7月26日;ゲーセワニュース2015;久田将義、吉田豪、杉作J太郎、しみけん;2015年
414;8月9日;ザ・大声クイズ13;千鳥、菊地亜美、西野晶雄（シンプル）;2015年
415;8月16日;10代のノリに食らいつけ!ジジババ検証テスト;黒沢かずこ（森三中）、椿鬼奴、私立恵比寿中学;2015年
416;8月23日;芸能界ストイック暗記王15;おかずクラブ、麒麟、バカリズム、東京03、亀島一徳、高橋戦車青山めぐ、安藤遥、小田あさ美、桜井未来、富川一人、澤野泰誠、和田裕太、白石茉莉奈;2015年
417;8月30日;芸能界ストイック暗記王15;おかずクラブ、麒麟、バカリズム、東京03、亀島一徳、高橋戦車青山めぐ、安藤遥、小田あさ美、桜井未来、富川一人、澤野泰誠、和田裕太、白石茉莉奈;2015年
418;9月6日;教えて!松見坂先生;日村勇紀（バナナマン）、ムーディ勝山、どぶろっく、岡井千聖（℃-ute）、都丸紗也華;2015年
419;9月13日;マジ歌ライブ直前 緊急企画!;マキタスポーツ、野性爆弾、鈴木このみ、池田エライザ、奥仲麻琴、金子栞;2015年
420;9月20日;ゴッドタン出演者懇親会;三四郎、小池美由、中島愛里、あいな、Pちゃん;2015年
421;9月27日;衝撃事件簿 未公開SP;-;2015年
422;10月4日;松丸・中島・あいなの正直美女お悩み相談室;中島愛里、あいな、佐藤新一;2015年
423;10月11日;マジ歌LIVE2015 in 東京国際フォーラム;バナナマン、東京03、野性爆弾、ダイノジ、マキタスポーツ、黒沢かずこ（森三中）、秋山竜次（ロバート）、後藤輝基（フットボールアワー）私立恵比寿中学、中村静香、中島愛里、鈴木このみ;2015年
424;10月18日;マジ歌LIVE2015 in 東京国際フォーラム;バナナマン、東京03、野性爆弾、ダイノジ、マキタスポーツ、黒沢かずこ（森三中）、秋山竜次（ロバート）、後藤輝基（フットボールアワー）私立恵比寿中学、中村静香、中島愛里、鈴木このみ;2015年
425;10月25日;第5回コンビ愛確かめ選手権;オアシズ、ドランクドラゴン、麒麟、川井優沙、西上まなみ、山本成美;2015年
426;11月1日;第5回コンビ愛確かめ選手権;オアシズ、ドランクドラゴン、麒麟、川井優沙、西上まなみ、山本成美;2015年
427;11月8日;ウソツキング 〜マジよりリアルな嘘をつけ〜;川島明（麒麟）、村本大輔（ウーマンラッシュアワー）、久松都実、野呂佳代;2015年
428;11月15日;マジギライ1/5;バイきんぐ、宮河マヤ、藤綾乃、染谷有香、西村瑠璃子、あいな;2015年
429;11月22日;お笑い事務所ゴシップサテライト;アルコ&ピース、鬼ヶ島、三四郎;2015年
430;11月29日;名物女性キャラ初登場スペシャル;-;2015年
431;12月6日;第5回松丸プロデュース王決定戦;塚地武雅（ドランクドラゴン）;2015年
432;12月13日;ギリ笑える不幸座談会;野口かおる、三四郎、小池美由、伊藤麻希（LinQ）;2015年
433;12月20日;2015年のうちに放送しちゃいたい未公開映像SP;-;2015年
434;1月3日;第13回芸人マジ歌選手権;バナナマン、東京03、秋山竜次（ロバート）、スピードワゴン、ダイノジヒャダイン、小島瑠璃子、澤部佑（ハライチ）加藤育実、逢月ひな（サンミニ）、朝倉ゆり（バクステ外神田一丁目）、natsuki（エレクトリックリボン）;2016年
435;1月10日;第13回芸人マジ歌選手権 完全版SP;バナナマン、東京03、秋山竜次（ロバート）、スピードワゴン、ダイノジヒャダイン、小島瑠璃子、澤部佑（ハライチ）加藤育実、逢月ひな（サンミニ）、朝倉ゆり（バクステ外神田一丁目）、natsuki（エレクトリックリボン）;2016年
436;1月17日;ザ・大声クイズ14;藤本敏史（FUJIWARA）、吉村崇（平成ノブシコブシ）、野呂佳代;2016年
437;1月24日;小池美由にトモダチを作ってあげよう;小池美由、岸明日香、葉月、メイプル超合金、黒沢かずこ（森三中）;2016年
438;1月31日;チャラギリッシュNIGHT;バカリズム、ケンドーコバヤシ、日村勇紀（バナナマン）、葉月、菜香、平野いえな;2016年
439;2月7日;西野理解王選手権;西野亮廣（キングコング）、板倉俊之（インパルス）、岡井千聖（℃-ute）、石橋ゆう子;2016年
440;2月14日;第7回イチャまんグランプリ;三四郎、ハライチ、小島みなみ、木嶋のりこ、大堀恵;2016年
441;2月21日;第4回ジジイ芸人キレ悪検証テスト;サンドウィッチマン、荻野可鈴・山田朱莉・志田友美・京佳（夢みるアドレセンス）;2016年
442;2月28日;準レギュラー契約更新オーディション;手島優、Pちゃん、西岡葉月;2016年
443;3月6日;ゴッドタンのDVD特典映像は意外に面白いぞSP;あいな、松本ルナ、佐藤佳奈子、高橋志信、谷桃子、三四郎、小島みなみ;2016年
444;3月13日;俺の落とし方発表会;田中卓志（アンガールズ）、小田あさ美;2016年
445;3月20日;俺の落とし方発表会;田中卓志（アンガールズ）、野呂佳代;2016年
446;3月27日;この次世代アイドル知ってんのか!?2016;トレンディエンジェル、小池美由、吉田豪、掟ポルシェ、宗像明将一ノ瀬みか（神宿）、あの（ゆるめるモ!）、清竜人25、バニラビーンズ、秋元結季（DaisukI）;2016年
447;4月3日;マジギライ1/5;田中涼子、矢口真里、ビビる大木、あいな;2016年
448;4月3日;この若手知ってんのか!?2016;アルコ＆ピース、児島気奈、片山勝三、アナクロニスティック、ちぐはぐ、ADVANCE、曇天三男坊、ロリィタ族。;2016年
449;4月10日;この若手知ってんのか!?2016;アルコ＆ピース、児島気奈、片山勝三、ブラックパイナーSOS、マシンガンズ;2016年
450;4月17日;ワレモテ芸人会議;笑い飯、ジャルジャル、谷桃子;2016年
451;4月24日;DVD発売記念 小沢のマジ歌リベンジ!;スピードワゴン、倉持由香、山根千佳、都丸紗也華;2016年
452;5月1日;芸能界ストイック暗記王16;永野、藤本敏史（FUJIWARA）、小池美由、東京03、田中涼子、小田あさ美、桜井未来、安藤遥小野川晶、棒地良行、小玉雄大、大矢巧、髙橋弘兆、小川千尋、加納葉月、本田香織、野口雄介、阿部志鴻;2016年
453;5月8日;芸能界ストイック暗記王16;永野、藤本敏史（FUJIWARA）、小池美由、東京03、田中涼子、小田あさ美、桜井未来、安藤遥小野川晶、棒地良行、小玉雄大、大矢巧、髙橋弘兆、小川千尋、加納葉月、本田香織、野口雄介、阿部志鴻;2016年
454;5月15日;上品芸人クリニック;博多大吉（博多華丸・大吉）、川島明（麒麟）、三四郎、西岡葉月;2016年
455;5月22日;悩める中堅芸人 景気の悪い話サミット;エルシャカラーニ、三拍子、ブラックパイナーSOS、マシンガンズ、児島気奈;2016年
456;5月29日;泣けて笑える感動作SP;-;2016年
457;6月5日;第6回コンビ愛確かめ選手権;サンドウィッチマン、ジャルジャル、ロッチ、植松杏菜、古賀あかね、荷川取さやか;2016年
458;6月12日;第6回コンビ愛確かめ選手権;サンドウィッチマン、ジャルジャル、ロッチ、植松杏菜、古賀あかね、荷川取さやか;2016年
459;6月19日;第2回俺の落とし方発表会;大悟（千鳥）、シソンヌ、小田あさ美、安藤遥、橘希;2016年
460;6月26日;アルコ＆ピース酒井の彼女オーディション;アルコ＆ピース、中村愛、紺野ぶるま、ロリィタ族。;2016年
461;7月3日;仲直りフレンドパーク7（前編）;西野亮廣（キングコング）;2016年
462;7月10日;私の落とし方発表会;野呂佳代、おかずクラブ、金子岳憲、上田堪大;2016年
463;7月10日;仲直りフレンドパーク7（後編）;西野亮廣（キングコング）、小川千尋、加納葉月;2016年
464;7月17日;エロカッコつけ芸人は誰だ!?セクシードッキリ検証;岩井勇気（ハライチ）、曇天三男坊、ラブレターズ、小島みなみ;2016年
465;7月24日;舎弟愛確かめ選手権;ノブ（千鳥）、ケンドーコバヤシ、神宮寺しし丸、西野晶雄（シンプル）、ネゴシックス、小島みゆ、如月さや、川上愛;2016年
466;7月31日;舎弟愛確かめ選手権;ノブ（千鳥）、ケンドーコバヤシ、神宮寺しし丸、西野晶雄（シンプル）、ネゴシックス、小島みゆ、如月さや、川上愛;2016年
467;8月7日;爆乳シリーズ 新メンバーオーディション;手島優、天木じゅん、紺野ぶるま、Pちゃん;2016年
468;8月14日;第2回私の落とし方発表会;相席スタート、阿佐ヶ谷姉妹、菊地亜美、岩谷健司、梅津瑞樹、貴瀬雄二;2016年
469;8月21日;マジギライ1/5;ロッチ、朝日奈央、三宿菜々、藤後夏子、キューティー上木、そぼく（ミリオンズ）、アイクぬわら（超新塾）、あいな;2016年
470;8月28日;未公開ギリギリ映像SP;-;2016年
471;9月4日;マジ歌ルーキーオーディション;東京03、大福、パーマ大佐、ニック（タイムボム）、ぶらっくさむらい、春田和幸;2016年
472;9月11日;第9回オオギリッシュNIGHT;川島明（麒麟）、バカリズム、ケンドーコバヤシ、くっきー（野性爆弾）、佐藤聖羅、西村麻依、西岡葉月;2016年
473;9月18日;第4回バカヤロウ徒競走;児嶋一哉（アンジャッシュ）、ノブ（千鳥）、矢口真里、西野晶雄（シンプル）、ネゴシックス、神宮寺しし丸、岡井千聖、大高雄一郎大村わたる、冠仁、齊藤夢愛、島村比呂樹、清水美輝、中田好人、長谷川恒希、前原瑞樹、涌井とも子、野沢春日;2016年
474;9月25日;第4回バカヤロウ徒競走;児嶋一哉（アンジャッシュ）、ノブ（千鳥）、矢口真里、西野晶雄（シンプル）、ネゴシックス、神宮寺しし丸、岡井千聖、大高雄一郎大村わたる、冠仁、齊藤夢愛、島村比呂樹、清水美輝、中田好人、長谷川恒希、前原瑞樹、涌井とも子、野沢春日;2016年
475;10月2日;芝居ヤバイ芸人No.1決定戦;ネゴシックス、岡井千聖、三四郎、天野麻菜、倉持由香、春輝、日野出清、大矢巧;2016年
476;10月9日;第2回エロ格好つけ調査;塚地武雅（ドラングドラゴン）、ラブレターズ、小島みなみ;2016年
477;10月16日;コンビ芸開発委員会;バイきんぐ、三四郎;2016年
478;10月23日;第5回ジジイ芸人キレ悪検証テスト;ハライチ、レイザーラモンHG、M!LK、片渕茜（テレビ東京アナウンサー）;2016年
479;10月30日;第3回私の落とし方発表会;阿佐ヶ谷姉妹、大久保佳代子、岸明日香、岩谷健司、我妻桃実（ハコイリムスメ）、浅見鉱至、平原テツ、和合真一;2016年
480;11月6日;仲直りフレンドパーク8（前編）;小池美由、黒沢かずこ（森三中）、仲義代;2016年
481;11月13日;仲直りフレンドパーク8（後編）第5回ジジイ芸ジイ芸人キレ悪検証テスト 未公開;小池美由、黒沢かずこ（森三中）、生ハムと焼うどんハライチ、片渕茜（テレビ東京アナウンサー）;2016年
482;11月27日;芸能界ストイック暗記王17;博多華丸・大吉、ビビる大木、アルコ＆ピース、ロリィタ族。、大（グランジ）、向清太朗（天津）小田あさ美、加納葉月、鈴木ふみ奈、染谷有香、松岡里英;2016年
483;12月4日;芸能界ストイック暗記王17;博多華丸・大吉、ビビる大木、アルコ＆ピース、ロリィタ族。、大（グランジ）、向清太朗（天津）小田あさ美、加納葉月、鈴木ふみ奈、染谷有香、松岡里英;2016年
484;12月11日;第6回照れカワ芸人更生プログラム;千鳥、ジャルジャル、℃-ute、ハリウッドザコシショウ、篠原正明;2016年
485;12月18日;第6回照れカワ芸人更生プログラム;千鳥、ジャルジャル、℃-ute、ハリウッドザコシショウ、篠原正明;2016年
486;12月25日;第5回エロ哀しい話座談会;紺野ぶるま、西岡葉月、Pちゃん;2016年
487;1月4日;第14回芸人マジ歌選手権;バナナマン、東京03、バカリズム、後藤輝基（フットボールアワー）、秋山竜次（ロバート）、ハライチ宇多丸（RHYMESTER）、川島明（麒麟）、小島瑠璃子橘花凛、志崎ひなた、齊藤夢愛、古川真奈美、甲斐はるか、佐藤衣里子;2017年
488;1月8日;第14回芸人マジ歌選手権 完全版SP;バナナマン、東京03、バカリズム、後藤輝基（フットボールアワー）、秋山竜次（ロバート）、ハライチ宇多丸（RHYMESTER）、川島明（麒麟）、小島瑠璃子橘花凛、志崎ひなた、齊藤夢愛、古川真奈美、甲斐はるか、佐藤衣里子;2017年
489;1月15日;第1回ネタギリッシュNIGHT;さらば青春の光、ザ・ギース、うしろシティ、かもめんたる橘ゆりか、木村好珠、阿比留夏海;2017年
490;1月22日;第3回俺の落とし方発表会;塚地武雅（ドランクドラゴン）、小野川晶、酒井蘭、鈴木ふみ奈、三浦あくり日比野線、谷仲恵輔、山森信太郎、小椋唯香、菊川聖羅、芝本麟太郎;2017年
491;1月29日;マジギライ1/3;矢口真里、朝日奈央、岡井千聖（℃-ute）、手島優;2017年
492;2月5日;第8回イチャまんグランプリ;カミナリ、ピーマンズスタンダード、川上奈々美、三上悠亜、大堀恵;2017年
493;2月12日;気持ちよく泣かせるキャバクラ;角田晃広（東京03）、小池美由、内田晴子、大友久志、木村優良、佐瀬弘幸、西山聡、蒻崎今日子;2017年
494;2月19日;ロバート秋山のノリ女塾;秋山竜次（ロバート）、本郷杏奈、浅川梨奈（SUPER GiRLS）;2017年
495;2月26日;第4回私の落とし方発表会;阿佐ヶ谷姉妹、鈴木奈々、平野ノラ岩谷健司、オクイシュージ、小澤廉、東加奈子、日比野線、我妻桃実（ハコイリムスメ）楠拓馬、小池碧、安田祐太;2017年
496;3月5日;マジ歌スピンオフ;東京03、春田和幸、ニック&ぶらっくさむらい、関水たまこ;2017年
497;3月19日;よくぞここまで続いた！ゴッドタン ギリギリ事件簿！;東京03、深澤ゆうき、みひろ;2017年
498;3月26日;よくぞここまで続いた！ゴッドタン ギリギリ事件簿！;東京03、深澤ゆうき、みひろ;2017年
499;4月2日;マジ歌ライブ2017～マジ武道館～;バナナマン、バカリズム、後藤輝基（フットボールアワー）、秋山竜次（ロバート）、岩井勇気（ハライチ）、スピードワゴン、ダイノジ阿佐ヶ谷姉妹、みさわ大福、柳沢慎吾、藤田真由美、ニック&ぶらっくさむらい、春田和幸、ラブレターズ、手島優、倉田夏希、小池美由、あいな、Pちゃん、GO!皆川関水たまこ、石橋ゆう子、みひろ、岩谷健司、加藤育実、乙幡杏菜（mi-na）、朝倉ゆり（エラバレシ）、natsuki（Nice Arrange）;2017年
500;4月9日;マジ歌ライブ2017～マジ武道館～;バナナマン、バカリズム、後藤輝基（フットボールアワー）、秋山竜次（ロバート）、岩井勇気（ハライチ）、スピードワゴン、ダイノジ阿佐ヶ谷姉妹、みさわ大福、柳沢慎吾、藤田真由美、ニック&ぶらっくさむらい、春田和幸、ラブレターズ、手島優、倉田夏希、小池美由、あいな、Pちゃん、GO!皆川関水たまこ、石橋ゆう子、みひろ、岩谷健司、加藤育実、乙幡杏菜（mi-na）、朝倉ゆり（エラバレシ）、natsuki（Nice Arrange）;2017年
501;4月16日;第2回芝居ヤバイ芸人No.1決定戦;ネゴシックス、岡井千聖、ノブ（千鳥）、平嶋夏海、月城まゆ、入矢麻衣;2017年
502;4月23日;ザ・大声クイズ15;銀シャリ、倉持由香;2017年
503;4月30日;松丸代打オーディション;池田裕子、染谷有香、紺野ぶるま;2017年
504;5月7日;第7回コンビ愛確かめ選手権;ロバート、アルコ&ピース、メイプル超合金;2017年
505;5月14日;第7回コンビ愛確かめ選手権;ロバート、アルコ&ピース、メイプル超合金;2017年
506;5月21日;仲直りフレンドパーク9;ハライチ、ラブレターズ;2017年
507;5月28日;ロバート秋山のノリ女塾;秋山竜次（ロバート）、都丸紗也華、本郷杏奈;2017年
508;6月4日;西野の夢 かなえたろかスペシャル;西野亮廣（キングコング）、鈴木拓（ドランクドラゴン）、水口亘、池田裕子;2017年
509;6月11日;帰ってきた芸人ラジオサミット 〜次世代ラジオ芸人SP〜;アルコ&ピース、三四郎、ニューヨーク、川野将一;2017年
510;6月18日;ケンカ＆ダンスグランプリ;田中卓志（アンガールズ）、野沢春日、松岡里英、川上愛、白川未奈、エヴァンス未希;2017年
511;6月25日;歌ネタ芸人が大集結！ちょいエロ歌謡祭;8.6秒バズーカー、ムーディ勝山、2700、AMEMIYA;2017年
512;7月2日;2017年上半期未公開映像一挙蔵出しSP;NA;2017年
513;7月9日;マジギライ1/5;千鳥、あいな、寺口智香、ららぴ、るるぴ、あさいあみ;2017年
514;7月16日;この若手知ってんのか!?2017;アルコ＆ピース、児島気奈、ゆにばーす、ランジャタイ、いかちゃん 、曇天三男坊;2017年
515;7月23日;アイドル飲み姿カワイイGP6;藤木由貴、橋本梨菜、和地つかさ;2017年
516;7月30日;第5回 私の落とし方発表会;横澤夏子、阿佐ヶ谷姉妹;2017年
517;8月6日;第2回ネタギリッシュNIGHT;相席スタート、タイムマシーン3号、ザ・ギース、チョコレートプラネット星乃まおり、黒口那津、葉月あや;2017年
518;8月13日;キモンスターズ・チャンプ7;バイきんぐ、野性爆弾、マテンロウ;2017年
519;8月20日;未公開＆ゴールデン見所SP;馬鹿よ貴方は、佐山彩香、いかちゃん;2017年
520;8月26日;芸人マジ歌選手権SP マジラブソング歌謡祭;東京03、AMEMIYA、スピードワゴン、秋山竜次（ロバート）、ベッキー、ハライチ、向井慧（パンサー）、阿佐ヶ谷姉妹、岡井千聖、バカリズム、平田敦子、野口かおる川島明（麒麟）、千鳥、中村静香、朝日奈央、都丸紗也華、本郷杏奈、岸明日香、手島優、波田陽区;2017年
520;8月26日;マジギライ芸人No.1決定戦;千鳥、西野亮廣（キングコング）、小峠英二（バイきんぐ）、品川祐（品川庄司）、ハライチ、又吉直樹（ピース）、藤本敏史（FUJIWARA）岡田結実、ロバート、小宮浩信（三四郎）、徳井健太（平成ノブシコブシ）、鈴木拓（ドランクドラゴン）、あいな、谷まりあ、筧美和子;2017年
520;8月26日;私の落とし方発表会 売れっ子女芸人SP;尼神インター、ゆりやんレトリィバァ、阿佐ヶ谷姉妹、松野明美、陣内智則、三四郎、福士誠治、大東駿介、前川泰之、岡田浩暉;2017年
521;8月27日;ゲーセワニュース2017;吉田豪、久田将義、溜口佑太朗（ラブレターズ）、森田哲矢（さらば青春の光）;2017年
522;9月3日;ゴールデン未公開SP;NA;2017年
523;9月10日;謎の若手川瀬で30分!;ゆにばーす、ウエストランド、曇天三男坊;2017年
524;9月17日;腐ってる芸人が大集合! かぶりタレントキャラ統一マッチ;岩井勇気（ハライチ）、板倉俊之（インパルス）、徳井健太（平成ノブシコブシ）;2017年
525;9月24日;黒沢と小池に友達になってほしい;黒沢かずこ（森三中）、小池美由、入澤優、エヴァンス未希、いかちゃん;2017年
526;10月1日;第3回エロカッコつけ芸人は誰だ!? セクシードッキリ検証;斉藤慎二（ジャングルポケット）、ラブレターズ、小島みなみ;2017年
527;10月8日;激ヤバ未公開映像解禁SP;NA;2017年
528;10月15日;第3回 芝居ヤバい芸人No.1決定戦;本郷杏奈、ネゴシックス、尾形貴弘（パンサー）、野波麻帆;2017年
529;10月22日;ナイツ土屋改造計画!;土屋伸之（ナイツ）、千鳥;2017年
530;10月29日;上品芸人ハメ外しクラブ2017;川島明（麒麟）、澤部佑（ハライチ）;2017年
531;11月5日;第8回コンビ愛確かめ選手権;NON STYLE、三四郎、さらば青春の光;2017年
532;11月12日;第8回コンビ愛確かめ選手権;NON STYLE、三四郎、さらば青春の光;2017年
533;11月19日;第6回ジジイ芸人キレ悪検証テスト;児嶋一哉（アンジャッシュ）、藤本敏史（FUJIWARA）、西村ヒロチョ、いかちゃん、ジョイマン、虹のコンキスタドールファミリー;2017年
534;11月26日;第2回ケンカ＆ダンスグランプリ;田中卓志（アンガールズ）、野沢春日、璃乃、はるぽよ、エヴァンス未希、白川未奈;2017年
535;12月2日;矢作のアイドル大作戦！エビ中ひなたの公式おじいちゃんになりたい;私立恵比寿中学、岩井勇気（ハライチ）;2017年
536;12月9日;マジギライ1/5;コロコロチキチキペッパーズ、Pちゃん、結子、水咲優美、mone、香川沙耶;2017年
537;12月16日;第10回オオギリッシュNIGHT;川島明（麒麟）、バカリズム、ケンドーコバヤシ、くっきー（野性爆弾）、神部美咲、松岡音々、朝香りほ;2017年
538;12月23日;打倒松丸 野呂朝日プロデュース;くっきー（野性爆弾）;2017年
539;1月1日;第15回芸人マジ歌選手権SP;バナナマン、東京03、ハライチ、バカリズム、春日俊彰（オードリー）、カミナリAMEMIYA、青山はな、きみと歩実、紺野ひかる、平岡里枝子、松本菜奈実ヒャダイン、ビビる大木、内田理央;2018年
540;1月7日;2017年下半期総決算スペシャル;私立恵比寿中学、澤部佑（ハライチ）、葉月美音;2018年
541;1月14日;西野VS劇団ひとり 完全決着SP;西野亮廣（キングコング）;2018年
542;1月21日;炎上上等!このツイッターが心配;アルコ&ピース、呂布カルマ、長嶺あずさ（川崎純情小町☆）、鏡星、吉田豪;2018年
543;1月28日;第9回イチャまんグランプリ;ミキ、さらば青春の光、戸田真琴、初川みなみ;2018年
544;2月4日;腐り芸人セラピー;岩井勇気（ハライチ）、板倉俊之（インパルス）、徳井健太（平成ノブシコブシ）井口浩之（ウエストランド）、加納愛子（Aマッソ）、鬼越トマホーク、青山めぐ;2018年
545;2月11日;腐り芸人セラピー;岩井勇気（ハライチ）、板倉俊之（インパルス）、徳井健太（平成ノブシコブシ）井口浩之（ウエストランド）、加納愛子（Aマッソ）、鬼越トマホーク、青山めぐ;2018年
546;2月17日;第3回ネタギリッシュNIGHT;ライス、しずる、ジョイマン、アルコ＆ピース、神部美咲、葉月あや、三田寺理紗;2018年
547;2月24日;腐りグラドルグランプリ;戸田れい、鈴木咲、清水あいり、金子智美、白川未奈;2018年
548;3月3日;芸能界ストイック暗記王18;三四郎、秋山竜次（ロバート）、山本博（ロバート）、東京03、山内健司（かまいたち）小田あさ美、桜井未来、加納葉月、青山めぐ、にゃんこスター;2018年
549;3月10日;芸能界ストイック暗記王18;三四郎、秋山竜次（ロバート）、山本博（ロバート）、東京03、山内健司（かまいたち）小田あさ美、桜井未来、加納葉月、青山めぐ、にゃんこスター;2018年
550;3月17日;川島スリー;くっきー（野性爆弾）、川島明（麒麟）;2018年
551;3月24日;ニュースター誕生&衝撃映像SP;NA;2018年
552;3月31日;キス我慢選手権2018;小宮浩信（三四郎）、吉高寧々;2018年
553;4月7日;キス我慢選手権2018;ナダル （コロコロチキチキペッパーズ）、初川みなみ;2018年
554;4月14日;第9回コンビ愛確かめ選手権;カミナリ、平成ノブシコブシ、和牛;2018年
555;4月21日;第9回コンビ愛確かめ選手権;カミナリ、平成ノブシコブシ、和牛;2018年
556;4月28日;横アリにわしも出させてぇな! ジェッタシーアレンジ発表会やで～!;後藤輝基（フットボールアワー）;2018年
557;5月5日;野呂VS朝日 仲直りフレンドパーク;NA;2018年
558;5月12日;特別企画かずこデトックス;黒沢かずこ（森三中）、小池美由;2018年
559;5月19日;第2回腐り芸人セラピー;岩井勇気（ハライチ）、板倉俊之（インパルス）、徳井健太（平成ノブシコブシ）岡野陽一、ニューヨーク、鬼越トマホーク;2018年
560;5月26日;ひなたよ矢作が欲しければ小木を超えてみろ!;私立恵比寿中学、岩井勇気（ハライチ）;2018年
561;6月3日;第4回芝居ヤバい芸人No.1決定戦;ネゴシックス、本郷杏奈、ロッシー（野性爆弾）;2018年
562;6月10日;このアイドル知ってんのか!? 2018;アルコ&ピース、吉田豪、南波一海兎遊、せるふちゃいなしすてむ、眉村ちあき、伊藤麻希;2018年
563;6月17日;本郷杏奈、お前は何が出来るんだ!;本郷杏奈、ミラクルひかる、谷桃子;2018年
564;6月24日;マジ歌ライブ2018in横浜アリーナ;バナナマン、東京03、ハライチ、ラブレターズ、千葉雄大、秋山竜次（ロバート）、DA PUMP、バカリズム、手島優、阿由葉あみ、小倉由菜、きみと歩実、松本菜奈実、ベッキー、ダイノジ、カミナリ、小池美由、後藤輝基（フットボールアワー）、ひょっこりはん、GO!皆川、私立恵比寿中学、AMEMIYA;2018年
565;7月1日;マジ歌ライブ2018in横浜アリーナ;バナナマン、東京03、ハライチ、ラブレターズ、千葉雄大、秋山竜次（ロバート）、DA PUMP、バカリズム、手島優、阿由葉あみ、小倉由菜、きみと歩実、松本菜奈実、ベッキー、ダイノジ、カミナリ、小池美由、後藤輝基（フットボールアワー）、ひょっこりはん、GO!皆川、私立恵比寿中学、AMEMIYA;2018年
566;7月8日;この若手知ってんのか!? 2018;アルコ&ピース、小島気奈宮下草薙、きしたかの、あがすけ、EXIT、ニッキューナナ、ハナイチゴ、ソノヘンノ女、ナイチンゲールダンス、四千頭身;2018年
567;7月15日;この若手知ってんのか!? 2018;アルコ&ピース、小島気奈宮下草薙、きしたかの、あがすけ、EXIT、ニッキューナナ、ハナイチゴ、ソノヘンノ女、ナイチンゲールダンス、四千頭身;2018年
568;7月22日;誕生！川島スリー;くっきー（野性爆弾）、川島明（麒麟）;2018年
569;7月29日;ゲラ女王決定戦;三四郎、神宮寺しし丸西原愛夏、久松かおり、真奈、阿久津真央、神部美咲、彩希エリナ、遠山茜子、桃咲あや;2018年
570;8月5日;第11回オオギリッシュNIGHT;バカリズム、秋山竜次（ロバート）、川島明（麒麟）、大悟（千鳥）神部美咲、メイリ、高橋かな;2018年
571;8月12日;私の落とし方発表会;川村エミコ（たんぽぽ）、有村藍里、阿佐ヶ谷姉妹、田中卓志（アンガールズ）;2018年
572;8月19日;キャラ崩壊寸前！？暴走シーンSP;-;2018年
573;8月26日;ウソつけない女オーディション;石原由希（IDO★HOLIC）、永井すみれ、MAICA、鎌沢朋佳;2018年
574;9月2日;第3回腐り芸人セラピー;岩井勇気（ハライチ）、板倉俊之（インパルス）、徳井健太（平成ノブシコブシ）、ダイアン、村上健志（フルーツポンチ）;2018年
575;9月9日;第4回ネタギリッシュNIGHT;じゅんいちダビッドソン、紺野ぶるま、マツモトクラブ、とにかく明るい安村、ヒロシ、神部美咲、大貫彩香、真奈;2018年
576;9月16日;芸能界ストイック暗記王19;和牛、板倉俊之（インパルス）、黒沢かずこ（森三中）、小田あさ美、加納葉月、青山めぐ;2018年
577;9月23日;芸能界ストイック暗記王19;和牛、板倉俊之（インパルス）、黒沢かずこ（森三中）、小田あさ美、加納葉月、青山めぐ;2018年
